Perfil,Tema,Términos principales
ABASCAL,1,"sánchez, europa, llegar, peor, ahora"
ABASCAL,2,"sánchez, gobierno, apagón, españoles, mayor"
FEIJÓO,1,"españoles, gobierno, día, después, felicidades"
FEIJÓO,2,"españa, sánchez, gobierno, europa, apagón"
PEDRO SÁNCHEZ,1,"españa, europa, gaza, enhorabuena, feijóo"
PEDRO SÁNCHEZ,2,"familia, españa, suministro, derecho, fuerza"
PP,1,"sánchez, gobierno, pedro, españa, apagón"
PP,2,"día, días, buenos, agenda, gobierno"
PSOE,1,"mayo, ejecutiva, buenas, agenda, compartimos"
PSOE,2,"pp, feijóo, gobierno, españa, día"
PSOE,3,"pierdas, partir, directo, congreso, psoe"
PSOE,4,"zona, roja, programa, zapatero, historia"
PSOE,5,"partir, pierdas, síguelo, través, psoeplay"
PSOE,6,"pp, españa, siempre, vez, cómo"
SUMAR,1,"derecho, energía, israel, pública, hacia"
SUMAR,2,"solo, democracia, mayo, públicas, cuidados"
SUMAR,3,"jornada, laboral, reducción, pp, trabajadoras"
VOX,1,"españa, consigue, afiliados, psoe, simpatizantes"
VOX,2,"vox, bipartidismo, portavoz, firma, políticas"
VOX,3,"sánchez, gobierno, pedro, españa, vox"
YOLANDA DÍAZ,1,"personas, derechos, trabajadoras, trabajo, laboral"
YOLANDA DÍAZ,2,"genocidio, derecho, menos, do, israel"
